fixture_id,team_id,team_name,is_home,formation,coach_name,startXI_count,substitutes_count,startXI_players,substitutes_players
1213754,111,Le Havre,True,4-3-3,D. Digard,11,9,"[{""id"":24011,""name"":""A. Desmas"",""number"":30,""pos"":""G""},{""id"":2336,""name"":""L. Nego"",""number"":7,""pos"":""D""},{""id"":162443,""name"":""É. Youté"",""number"":6,""pos"":""D""},{""id"":64255,""name"":""G. Lloris"",""number"":4,""pos"":""D""},{""id"":20836,""name"":""C. Opéri"",""number"":27,""pos"":""D""},{""id"":1212,""name"":""D. Kuzyaev"",""number"":14,""pos"":""M""},{""id"":21103,""name"":""A. Touré"",""number"":94,""pos"":""M""},{""id"":128342,""name"":""R. Ndiaye"",""number"":19,""pos"":""M""},{""id"":174937,""name"":""Y. Kechta"",""number"":8,""pos"":""F""},{""id"":174915,""name"":""J. Casimir"",""number"":23,""pos"":""F""},{""id"":289304,""name"":""A. Joujou"",""number"":21,""pos"":""F""}]","[{""id"":22266,""name"":""S. Grandsir"",""number"":29,""pos"":""F""},{""id"":343317,""name"":""S. Ngoura"",""number"":77,""pos"":""F""},{""id"":158516,""name"":""K. Diawara"",""number"":15,""pos"":""F""},{""id"":646,""name"":""M. Gorgelin"",""number"":1,""pos"":""G""},{""id"":395765,""name"":""I. Bouneb"",""number"":44,""pos"":""M""},{""id"":314232,""name"":""M. Bodmer"",""number"":12,""pos"":""M""},{""id"":23637,""name"":""Y. Zouaoui"",""number"":18,""pos"":""D""},{""id"":20576,""name"":""Y. Salmier"",""number"":22,""pos"":""D""},{""id"":460805,""name"":""D. Mosengo"",""number"":78,""pos"":""M""}]"
1213754,85,Paris Saint Germain,False,4-3-3,Luis Enrique,11,9,"[{""id"":1622,""name"":""G. Donnarumma"",""number"":1,""pos"":""G""},{""id"":9,""name"":""A. Hakimi"",""number"":2,""pos"":""D""},{""id"":307835,""name"":""Beraldo"",""number"":35,""pos"":""D""},{""id"":16367,""name"":""W. Pacho"",""number"":51,""pos"":""D""},{""id"":386285,""name"":""Y. Zague"",""number"":42,""pos"":""D""},{""id"":336657,""name"":""W. Zaïre-Emery"",""number"":33,""pos"":""M""},{""id"":128384,""name"":""Vitinha"",""number"":17,""pos"":""M""},{""id"":746,""name"":""Marco Asensio"",""number"":11,""pos"":""M""},{""id"":927,""name"":""Lee Kang-In"",""number"":19,""pos"":""F""},{""id"":41585,""name"":""Gonçalo Ramos"",""number"":9,""pos"":""F""},{""id"":446249,""name"":""I. Mbaye"",""number"":49,""pos"":""F""}]","[{""id"":21104,""name"":""R. Kolo Muani"",""number"":23,""pos"":""F""},{""id"":335051,""name"":""João Neves"",""number"":87,""pos"":""M""},{""id"":161904,""name"":""B. Barcola"",""number"":29,""pos"":""F""},{""id"":153,""name"":""O. Dembélé"",""number"":10,""pos"":""F""},{""id"":257,""name"":""Marquinhos"",""number"":5,""pos"":""D""},{""id"":409216,""name"":""S. Mayulu"",""number"":24,""pos"":""M""},{""id"":2068,""name"":""M. Safonov"",""number"":39,""pos"":""G""},{""id"":930,""name"":""Carlos Soler"",""number"":28,""pos"":""M""},{""id"":198,""name"":""M. Škriniar"",""number"":37,""pos"":""D""}]"
1213747,106,Stade Brestois 29,True,4-3-3,E. Roy,11,8,"[{""id"":36878,""name"":""M. Bizot"",""number"":40,""pos"":""G""},{""id"":22247,""name"":""K. Lala"",""number"":27,""pos"":""D""},{""id"":20546,""name"":""B. Chardonnet"",""number"":5,""pos"":""D""},{""id"":85914,""name"":""J. Le Cardinal"",""number"":25,""pos"":""D""},{""id"":1901,""name"":""J. Amavi"",""number"":23,""pos"":""D""},{""id"":24147,""name"":""M. Camara"",""number"":45,""pos"":""M""},{""id"":22258,""name"":""J. Martin"",""number"":28,""pos"":""M""},{""id"":20780,""name"":""Mathias Pereira Lage"",""number"":26,""pos"":""M""},{""id"":2214,""name"":""R. Del Castillo"",""number"":10,""pos"":""F""},{""id"":22264,""name"":""L. Ajorque"",""number"":19,""pos"":""F""},{""id"":85772,""name"":""J. Le Douaron"",""number"":22,""pos"":""F""}]","[{""id"":84082,""name"":""R. Faivre"",""number"":21,""pos"":""M""},{""id"":329209,""name"":""A. Camblan"",""number"":11,""pos"":""M""},{""id"":129680,""name"":""H. Mbock"",""number"":18,""pos"":""M""},{""id"":422595,""name"":""L. Zogbé"",""number"":12,""pos"":""D""},{""id"":21248,""name"":""G. Coudert"",""number"":30,""pos"":""G""},{""id"":36540,""name"":""A. Dari"",""number"":4,""pos"":""D""},{""id"":367853,""name"":""L. Botz"",""number"":33,""pos"":""F""},{""id"":449659,""name"":""I. Kanté"",""number"":32,""pos"":""F""}]"
1213747,81,Marseille,False,4-2-3-1,R. De Zerbi,11,9,"[{""id"":47296,""name"":""G. Rulli"",""number"":1,""pos"":""G""},{""id"":2973,""name"":""A. Murillo"",""number"":62,""pos"":""D""},{""id"":6,""name"":""L. Balerdi"",""number"":5,""pos"":""D""},{""id"":51295,""name"":""D. Cornelius"",""number"":13,""pos"":""D""},{""id"":30525,""name"":""Pol Lirola"",""number"":29,""pos"":""D""},{""id"":2735,""name"":""P. Højbjerg"",""number"":23,""pos"":""M""},{""id"":272460,""name"":""Q. Merlin"",""number"":3,""pos"":""M""},{""id"":897,""name"":""M. Greenwood"",""number"":10,""pos"":""M""},{""id"":412,""name"":""A. Harit"",""number"":11,""pos"":""M""},{""id"":10077,""name"":""Luis Henrique"",""number"":44,""pos"":""M""},{""id"":162707,""name"":""E. Wahi"",""number"":9,""pos"":""F""}]","[{""id"":193501,""name"":""B. Meïté"",""number"":18,""pos"":""M""},{""id"":102447,""name"":""F. Moumbagna"",""number"":14,""pos"":""F""},{""id"":449660,""name"":""E. Sternal"",""number"":22,""pos"":""F""},{""id"":449158,""name"":""K. Abdallah"",""number"":48,""pos"":""F""},{""id"":21102,""name"":""V. Rongier"",""number"":21,""pos"":""M""},{""id"":36827,""name"":""J. de Lange"",""number"":12,""pos"":""G""},{""id"":392683,""name"":""A. Koum"",""number"":43,""pos"":""D""},{""id"":393926,""name"":""G. Lafont"",""number"":47,""pos"":""M""},{""id"":322879,""name"":""R. Nyakossi"",""number"":46,""pos"":""D""}]"
1213752,93,Reims,True,4-3-3,L. Elsner,11,9,"[{""id"":20566,""name"":""Y. Diouf"",""number"":94,""pos"":""G""},{""id"":442929,""name"":""Abdoul Koné"",""number"":92,""pos"":""D""},{""id"":71545,""name"":""J. Okumu"",""number"":2,""pos"":""D""},{""id"":135068,""name"":""E. Agbadou"",""number"":24,""pos"":""D""},{""id"":47530,""name"":""Sergio Akieme"",""number"":18,""pos"":""D""},{""id"":343351,""name"":""V. Atangana Edoa"",""number"":6,""pos"":""M""},{""id"":437482,""name"":""Amadou Koné"",""number"":72,""pos"":""M""},{""id"":3080,""name"":""M. Munetsi"",""number"":15,""pos"":""M""},{""id"":1942,""name"":""J. Ito"",""number"":7,""pos"":""F""},{""id"":334429,""name"":""O. Diakité"",""number"":22,""pos"":""F""},{""id"":33321,""name"":""K. Nakamura"",""number"":17,""pos"":""F""}]","[{""id"":145476,""name"":""R. Khadra"",""number"":14,""pos"":""M""},{""id"":389322,""name"":""N. Sangui"",""number"":55,""pos"":""D""},{""id"":384489,""name"":""Y. Fofana"",""number"":71,""pos"":""M""},{""id"":386481,""name"":""M. Diakhon"",""number"":67,""pos"":""F""},{""id"":369059,""name"":""A. Bojang"",""number"":27,""pos"":""F""},{""id"":278408,""name"":""M. Adeline"",""number"":5,""pos"":""M""},{""id"":19546,""name"":""C. Kipré"",""number"":21,""pos"":""D""},{""id"":8474,""name"":""T. De Smet"",""number"":25,""pos"":""D""},{""id"":21080,""name"":""A. Olliero"",""number"":20,""pos"":""G""}]"
1213752,79,Lille,False,5-4-1,B. Génésio,11,9,"[{""id"":162453,""name"":""L. Chevalier"",""number"":30,""pos"":""G""},{""id"":379329,""name"":""Tiago Santos"",""number"":22,""pos"":""D""},{""id"":1567,""name"":""A. Mandi"",""number"":2,""pos"":""D""},{""id"":22136,""name"":""B. Diakité"",""number"":18,""pos"":""D""},{""id"":142691,""name"":""Alexsandro Ribeiro"",""number"":4,""pos"":""D""},{""id"":679,""name"":""Ismaily"",""number"":31,""pos"":""D""},{""id"":22093,""name"":""R. Cabella"",""number"":10,""pos"":""M""},{""id"":375598,""name"":""N. Mukau"",""number"":17,""pos"":""M""},{""id"":896,""name"":""A. Gomes"",""number"":8,""pos"":""M""},{""id"":99576,""name"":""O. Sahraoui"",""number"":11,""pos"":""M""},{""id"":24288,""name"":""M. Bayo"",""number"":27,""pos"":""F""}]","[{""id"":67889,""name"":""H. Haraldsson"",""number"":7,""pos"":""M""},{""id"":8489,""name"":""J. David"",""number"":9,""pos"":""F""},{""id"":438688,""name"":""A. Bouaddi"",""number"":32,""pos"":""M""},{""id"":264,""name"":""T. Meunier"",""number"":12,""pos"":""D""},{""id"":47969,""name"":""G. Gudmundsson"",""number"":5,""pos"":""D""},{""id"":386287,""name"":""E. Mbappé"",""number"":29,""pos"":""M""},{""id"":45892,""name"":""A. Ilić"",""number"":24,""pos"":""F""},{""id"":51146,""name"":""V. Mannone"",""number"":1,""pos"":""G""},{""id"":351888,""name"":""O. Touré"",""number"":36,""pos"":""D""}]"
1213751,91,Monaco,True,4-4-2,A. Hütter,11,9,"[{""id"":7313,""name"":""P. Köhn"",""number"":16,""pos"":""G""},{""id"":291649,""name"":""Vanderson"",""number"":2,""pos"":""D""},{""id"":261,""name"":""T. Kehrer"",""number"":5,""pos"":""D""},{""id"":47480,""name"":""M. Salisu"",""number"":22,""pos"":""D""},{""id"":158121,""name"":""I. Jakobs"",""number"":14,""pos"":""D""},{""id"":1101,""name"":""T. Minamino"",""number"":18,""pos"":""M""},{""id"":374058,""name"":""L. Camara"",""number"":15,""pos"":""M""},{""id"":2810,""name"":""D. Zakaria"",""number"":6,""pos"":""M""},{""id"":343320,""name"":""E. Ben Seghir"",""number"":7,""pos"":""M""},{""id"":421,""name"":""B. Embolo"",""number"":36,""pos"":""F""},{""id"":138835,""name"":""F. Balogun"",""number"":9,""pos"":""F""}]","[{""id"":274300,""name"":""M. Akliouche"",""number"":11,""pos"":""M""},{""id"":326176,""name"":""S. Magassa"",""number"":88,""pos"":""M""},{""id"":395040,""name"":""G. Ilenikhena"",""number"":21,""pos"":""F""},{""id"":374361,""name"":""E. Diop"",""number"":37,""pos"":""M""},{""id"":371916,""name"":""C. Mawissa"",""number"":13,""pos"":""D""},{""id"":2553,""name"":""G. Maripán"",""number"":3,""pos"":""D""},{""id"":274296,""name"":""Y. Lienard"",""number"":50,""pos"":""G""},{""id"":333137,""name"":""K. Ouattara"",""number"":20,""pos"":""D""},{""id"":10316,""name"":""Caio Henrique"",""number"":12,""pos"":""D""}]"
1213751,1063,Saint Etienne,False,4-1-4-1,O. Dall’Oglio,11,9,"[{""id"":20541,""name"":""G. Larsonneur"",""number"":30,""pos"":""G""},{""id"":339599,""name"":""B. Owusu"",""number"":38,""pos"":""D""},{""id"":8445,""name"":""D. Batubinsika"",""number"":21,""pos"":""D""},{""id"":2704,""name"":""Y. Abdelhamid"",""number"":5,""pos"":""D""},{""id"":401568,""name"":""M. Nzuzi"",""number"":35,""pos"":""D""},{""id"":8624,""name"":""F. Tardieu"",""number"":10,""pos"":""M""},{""id"":24743,""name"":""Z. Davitashvili"",""number"":22,""pos"":""M""},{""id"":179856,""name"":""B. Old"",""number"":11,""pos"":""M""},{""id"":395762,""name"":""M. Amougou"",""number"":37,""pos"":""M""},{""id"":22003,""name"":""M. Cafaro"",""number"":18,""pos"":""M""},{""id"":20648,""name"":""I. Sissoko"",""number"":9,""pos"":""F""}]","[{""id"":337426,""name"":""A. Boakye"",""number"":20,""pos"":""F""},{""id"":339601,""name"":""A. Aiki"",""number"":39,""pos"":""F""},{""id"":452315,""name"":""K. Pedro"",""number"":45,""pos"":""D""},{""id"":20861,""name"":""L. Fomba"",""number"":26,""pos"":""M""},{""id"":360098,""name"":""J. Othman"",""number"":41,""pos"":""F""},{""id"":339600,""name"":""A. Gauthier"",""number"":34,""pos"":""M""},{""id"":368026,""name"":""I. Touré"",""number"":40,""pos"":""G""},{""id"":289555,""name"":""L. Mouton"",""number"":14,""pos"":""M""},{""id"":22087,""name"":""M. Nadé"",""number"":3,""pos"":""D""}]"
1213753,108,Auxerre,True,4-4-2,C. Pélissier,11,9,"[{""id"":20542,""name"":""D. Léon"",""number"":16,""pos"":""G""},{""id"":191392,""name"":""P. Joly"",""number"":26,""pos"":""D""},{""id"":41300,""name"":""Jubal"",""number"":4,""pos"":""D""},{""id"":20206,""name"":""G. Osho"",""number"":3,""pos"":""D""},{""id"":191189,""name"":""C. Akpa"",""number"":92,""pos"":""D""},{""id"":20732,""name"":""G. Perrin"",""number"":10,""pos"":""M""},{""id"":20586,""name"":""R. Raveloson"",""number"":97,""pos"":""M""},{""id"":21010,""name"":""E. Owusu"",""number"":42,""pos"":""M""},{""id"":90617,""name"":""L. Sinayoko"",""number"":17,""pos"":""M""},{""id"":51293,""name"":""T. Bair"",""number"":9,""pos"":""F""},{""id"":32940,""name"":""A. Onaiwu"",""number"":45,""pos"":""F""}]","[{""id"":21143,""name"":""T. Pellenard"",""number"":5,""pos"":""D""},{""id"":20782,""name"":""F. Ayé"",""number"":19,""pos"":""F""},{""id"":322595,""name"":""L. Coulibaly"",""number"":21,""pos"":""M""},{""id"":30748,""name"":""A. Dioussé"",""number"":18,""pos"":""M""},{""id"":323625,""name"":""K. Danois"",""number"":27,""pos"":""M""},{""id"":344150,""name"":""V. Mayela"",""number"":23,""pos"":""D""},{""id"":193681,""name"":""T. De Percin"",""number"":40,""pos"":""G""},{""id"":38754,""name"":""E. Maddy"",""number"":11,""pos"":""F""},{""id"":406855,""name"":""B. Viadère"",""number"":29,""pos"":""F""}]"
1213753,84,Nice,False,3-4-3,F. Haise,11,9,"[{""id"":2274,""name"":""M. Bułka"",""number"":1,""pos"":""G""},{""id"":313937,""name"":""A. Mendy"",""number"":33,""pos"":""D""},{""id"":240,""name"":""P. Rosario"",""number"":8,""pos"":""D""},{""id"":22163,""name"":""Dante"",""number"":4,""pos"":""D""},{""id"":25008,""name"":""J. Clauss"",""number"":92,""pos"":""M""},{""id"":4399,""name"":""H. Boudaoui"",""number"":28,""pos"":""M""},{""id"":662,""name"":""T. Ndombélé"",""number"":22,""pos"":""M""},{""id"":19250,""name"":""B. Brahimi"",""number"":14,""pos"":""M""},{""id"":274312,""name"":""M. Cho"",""number"":25,""pos"":""F""},{""id"":137303,""name"":""E. Guessand"",""number"":29,""pos"":""F""},{""id"":21592,""name"":""G. Laborde"",""number"":24,""pos"":""F""}]","[{""id"":945,""name"":""J. Lotomba"",""number"":23,""pos"":""D""},{""id"":334879,""name"":""B. Bouanani"",""number"":19,""pos"":""M""},{""id"":477124,""name"":""V. Orakpo"",""number"":45,""pos"":""F""},{""id"":444561,""name"":""I. Camara"",""number"":36,""pos"":""M""},{""id"":482467,""name"":""Y. Nandjou"",""number"":42,""pos"":""D""},{""id"":462277,""name"":""I. Salhi"",""number"":41,""pos"":""D""},{""id"":21079,""name"":""M. Dupé"",""number"":31,""pos"":""G""},{""id"":437498,""name"":""A. Doumbouya"",""number"":44,""pos"":""D""},{""id"":375578,""name"":""D. Traoré"",""number"":39,""pos"":""M""}]"
