fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_injury_impact_score,away_injury_impact_score,injury_impact_diff,home_likely_starter_injuries_count,away_likely_starter_injuries_count,likely_starter_injuries_diff,home_points_before,away_points_before,home_rank_before,away_rank_before,home_goal_diff_before,away_goal_diff_before,home_matches_played_before,away_matches_played_before,matchday_estimate,remaining_matches_estimate,home_title_pressure,away_title_pressure,home_europe_pressure,away_europe_pressure,home_relegation_pressure,away_relegation_pressure,home_midtable_flag,away_midtable_flag,home_total_motivation_score,away_total_motivation_score,motivation_diff,match_context_label
1387718,2025-08-29 18:45:00+00:00,61,2025,116,Lens,106,Stade Brestois 29,3,1,FT,3-4-2-1,4-3-3,3-4-2-1 vs 4-3-3,1,2,-1,1.0,1,49.0,1.5,,4.0,4.5,12.0,14.5,1.225,1.65,6.0,7.5,1.0,1,49.5,1.5,,3.5,4.5,17.0,8.0,1.4899999999999998,1.4500000000000002,5.5,2.5,0.5,-5.0,-0.2649999999999997,0.5,-0.5,0.0,0.5,1.0,-0.5,0,0,0,3,1,10,14,0,-2,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
1387719,2025-08-30 15:00:00+00:00,61,2025,97,Lorient,79,Lille,1,7,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,6,9,-3,1.0,1,53.5,4.0,0.0,5.0,2.0,18.0,5.5,2.205,0.76,3.5,3.0,1.0,1,52.0,1.0,,3.5,3.0,14.0,12.0,2.27,1.63,5.0,2.5,1.5,4.0,-0.0649999999999999,-1.5,1.5,0.0,3.0,4.5,-1.5,0,0,0,3,4,7,6,3,1,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387722,2025-08-30 17:00:00+00:00,61,2025,83,Nantes,108,Auxerre,1,0,FT,4-3-3,4-4-1-1,4-3-3 vs 4-4-1-1,2,4,-2,1.0,1,40.0,1.5,,1.0,4.0,7.0,16.5,0.29,1.605,4.0,7.0,0.5,2,44.5,2.5,1.0,5.5,4.5,9.5,15.0,1.475,1.655,4.0,4.5,-4.5,-2.5,-1.185,0.0,-4.5,0.5,1.0,2.0,-1.0,0,0,0,0,3,16,11,-2,-1,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387724,2025-08-30 19:05:00+00:00,61,2025,96,Toulouse,85,Paris Saint Germain,3,6,FT,5-4-1,4-3-3,5-4-1 vs 4-3-3,4,4,0,1.0,1,45.0,1.5,,2.5,2.0,8.0,14.5,0.945,0.88,3.5,9.0,1.0,1,77.5,1.0,,4.0,0.0,19.5,4.0,1.64,0.19,9.5,1.0,-1.5,-11.5,-0.6950000000000001,-6.0,-32.5,0.0,2.0,2.0,0.0,0,0,0,6,6,3,5,3,2,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387716,2025-08-31 13:00:00+00:00,61,2025,77,Angers,94,Rennes,1,1,FT,4-2-3-1,3-5-2,4-2-3-1 vs 3-5-2,1,4,-3,0.5,2,24.0,2.0,1.0,1.0,5.5,5.5,19.0,0.605,1.385,1.5,9.5,0.5,2,38.5,1.0,1.5,3.0,4.5,8.0,23.0,0.775,2.375,1.5,7.5,-2.0,-2.5,-0.17,0.0,-14.5,0.0,0.5,2.0,-1.5,0,0,0,3,3,10,14,0,-3,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
1387717,2025-08-31 15:15:00+00:00,61,2025,111,Le Havre,84,Nice,3,1,FT,4-1-4-1,3-4-2-1,4-1-4-1 vs 3-4-2-1,2,8,-6,1.0,1,41.5,2.0,,5.0,3.0,13.5,9.5,1.245,1.415,5.5,2.5,1.0,1,56.0,2.0,0.0,4.0,5.0,14.5,11.0,1.365,1.06,7.0,4.0,1.0,-1.0,-0.1200000000000001,-1.5,-14.5,0.0,1.0,4.0,-3.0,0,0,0,0,3,17,11,-3,1,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387721,2025-08-31 15:15:00+00:00,61,2025,91,Monaco,95,Strasbourg,3,2,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,4,6,-2,0.5,2,62.0,1.0,,2.0,2.5,9.5,13.5,1.505,1.76,4.0,6.0,0.5,2,55.5,2.0,,4.0,1.0,12.0,5.5,1.2,0.37,5.0,4.5,-2.0,-2.5,0.3049999999999999,-1.0,6.5,0.0,2.0,3.0,-1.0,0,0,0,3,6,10,5,1,2,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
1387723,2025-08-31 15:15:00+00:00,61,2025,114,Paris FC,112,Metz,3,2,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,1,5,-4,0.5,2,53.5,0.5,0.0,5.5,4.5,12.5,9.5,1.005,1.9,4.5,4.0,0.5,2,42.5,2.0,,1.0,6.0,6.5,11.0,0.43,1.695,3.0,3.5,4.5,6.0,0.5750000000000001,1.5,11.0,0.0,0.5,2.5,-2.0,0,0,0,0,0,18,19,-4,-4,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,standard
1387720,2025-08-31 18:45:00+00:00,61,2025,80,Lyon,81,Marseille,1,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,6,6,0,1.0,1,49.0,1.5,,5.5,3.5,12.0,14.5,2.09,0.97,6.0,7.5,0.5,2,66.5,2.0,0.0,4.5,4.5,17.5,10.0,2.27,1.28,8.5,1.5,1.0,-5.5,-0.1800000000000001,-2.5,-17.5,0.5,3.0,3.0,0.0,0,0,0,6,3,3,10,4,2,2,2,3,31,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,mixed_stakes
1387728,2025-09-12 18:45:00+00:00,61,2025,81,Marseille,97,Lorient,4,0,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,2,6,-4,0.6666666666666666,2,58.333333333333336,2.0,0.5,3.6666666666666665,5.0,13.333333333333334,12.666666666666666,1.7700000000000002,1.8666666666666665,7.0,4.0,0.6666666666666666,2,49.333333333333336,3.6666666666666665,0.0,4.0,5.0,14.0,10.333333333333334,1.97,1.67,3.333333333333333,4.666666666666667,-0.3333333333333335,-0.6666666666666661,-0.1999999999999997,3.6666666666666665,9.0,0.0,1.0,3.0,-2.0,0,0,0,3,3,10,15,1,-3,3,3,4,30,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,mixed_stakes
