fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_expected_goals,away_expected_goals,home_team_formation_matches_before,home_team_formation_win_rate_before,home_team_formation_draw_rate_before,home_team_formation_loss_rate_before,home_team_formation_xg_for_avg_before,home_team_formation_xg_against_avg_before,home_team_formation_goal_diff_avg_before,away_team_formation_matches_before,away_team_formation_win_rate_before,away_team_formation_draw_rate_before,away_team_formation_loss_rate_before,away_team_formation_xg_for_avg_before,away_team_formation_xg_against_avg_before,away_team_formation_goal_diff_avg_before,formation_matchup_matches_before,formation_matchup_home_win_rate_before,formation_matchup_draw_rate_before,formation_matchup_away_win_rate_before,formation_matchup_avg_total_goals_before,formation_matchup_avg_xg_total_before,home_formation_signal_strength,away_formation_signal_strength,matchup_signal_strength
1387710,2025-08-23 19:05:00+00:00,61,2025,80,Lyon,112,Metz,3,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,2,2,1.0,1,45.0,3.0,,3.0,5.0,11.0,18.0,1.41,1.38,8.0,12.0,1.0,1,38.0,2.0,,0.0,4.0,2.0,9.0,0.3,0.62,3.0,3.0,3.0,9.0,1.11,5.0,7.0,0.0,2.77,0.56,1,1.0,0.0,0.0,1.41,1.38,1.0,0,,,,,,,0,,,,,,weak,weak,weak
1387709,2025-08-24 13:00:00+00:00,61,2025,97,Lorient,94,Rennes,4,0,FT,3-4-3,3-5-2,3-4-3 vs 3-5-2,3,3,0,1.0,1,56.0,2.0,,3.0,3.0,14.0,7.0,1.37,1.44,4.0,4.0,1.0,1,28.0,2.0,1.0,5.0,2.0,12.0,24.0,1.47,1.71,1.0,12.0,-2.0,2.0,-0.0999999999999998,3.0,28.0,0.0,3.04,0.08,1,0.0,0.0,1.0,1.37,1.44,-1.0,0,,,,,,,0,,,,,,weak,weak,weak
1387707,2025-08-24 15:15:00+00:00,61,2025,111,Le Havre,116,Lens,1,2,FT,4-1-4-1,3-4-2-1,4-1-4-1 vs 3-4-2-1,2,0,2,1.0,1,26.0,1.0,,4.0,3.0,9.0,13.0,0.6,1.76,4.0,5.0,1.0,1,55.0,2.0,,5.0,3.0,18.0,11.0,1.38,1.41,12.0,8.0,-1.0,-9.0,-0.7799999999999999,-8.0,-29.0,0.0,1.89,1.07,1,0.0,0.0,1.0,0.6,1.76,-2.0,1,0.0,0.0,1.0,1.38,1.41,-1.0,0,,,,,,weak,weak,weak
1387714,2025-08-24 15:15:00+00:00,61,2025,95,Strasbourg,83,Nantes,1,0,FT,3-4-2-1,4-1-4-1,3-4-2-1 vs 4-1-4-1,7,1,6,1.0,1,62.0,2.0,,4.0,0.0,9.0,2.0,0.62,0.3,3.0,3.0,1.0,1,29.0,1.0,,0.0,4.0,5.0,18.0,0.14,1.43,2.0,7.0,4.0,4.0,0.48,1.0,33.0,0.0,1.78,0.44,0,,,,,,,1,0.0,0.0,1.0,0.14,1.43,-1.0,0,,,,,,weak,weak,weak
1387715,2025-08-24 15:15:00+00:00,61,2025,96,Toulouse,106,Stade Brestois 29,2,0,FT,3-4-3,4-3-3,3-4-3 vs 4-3-3,3,2,1,1.0,1,43.0,3.0,,2.0,2.0,10.0,13.0,0.61,0.79,4.0,9.0,1.0,1,46.0,2.0,,5.0,6.0,18.0,10.0,2.01,1.62,2.0,2.0,-3.0,-8.0,-1.4,2.0,-3.0,0.0,1.28,0.97,1,1.0,0.0,0.0,0.61,0.79,1.0,1,0.0,1.0,0.0,2.01,1.62,0.0,0,,,,,,weak,weak,weak
1387708,2025-08-24 18:45:00+00:00,61,2025,79,Lille,91,Monaco,1,0,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,8,6,2,1.0,1,54.0,1.0,,6.0,5.0,10.0,18.0,1.62,2.01,2.0,2.0,1.0,1,74.0,0.0,,3.0,4.0,13.0,9.0,1.76,0.6,5.0,4.0,3.0,-3.0,-0.1399999999999999,-3.0,-20.0,0.0,2.92,1.25,1,0.0,1.0,0.0,1.62,2.01,0.0,0,,,,,,,1,1.0,0.0,0.0,7.0,3.92,weak,weak,weak
1387718,2025-08-29 18:45:00+00:00,61,2025,116,Lens,106,Stade Brestois 29,3,1,FT,3-4-2-1,4-3-3,3-4-2-1 vs 4-3-3,1,2,-1,1.0,1,49.0,1.5,,4.0,4.5,12.0,14.5,1.225,1.65,6.0,7.5,1.0,1,49.5,1.5,,3.5,4.5,17.0,8.0,1.4899999999999998,1.4500000000000002,5.5,2.5,0.5,-5.0,-0.2649999999999997,0.5,-0.5,0.0,3.99,1.08,2,0.5,0.0,0.5,1.225,1.65,0.0,2,0.0,0.5,0.5,1.4899999999999998,1.4500000000000002,-1.0,0,,,,,,weak,weak,weak
1387719,2025-08-30 15:00:00+00:00,61,2025,97,Lorient,79,Lille,1,7,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,6,9,-3,1.0,1,53.5,4.0,0.0,5.0,2.0,18.0,5.5,2.205,0.76,3.5,3.0,1.0,1,52.0,1.0,,3.5,3.0,14.0,12.0,2.27,1.63,5.0,2.5,1.5,4.0,-0.0649999999999999,-1.5,1.5,0.0,1.5,3.49,0,,,,,,,2,0.5,0.5,0.0,2.27,1.63,0.5,1,0.0,0.0,1.0,1.0,2.79,weak,weak,weak
1387722,2025-08-30 17:00:00+00:00,61,2025,83,Nantes,108,Auxerre,1,0,FT,4-3-3,4-4-1-1,4-3-3 vs 4-4-1-1,2,4,-2,1.0,1,40.0,1.5,,1.0,4.0,7.0,16.5,0.29,1.605,4.0,7.0,0.5,2,44.5,2.5,1.0,5.5,4.5,9.5,15.0,1.475,1.655,4.0,4.5,-4.5,-2.5,-1.185,0.0,-4.5,0.5,0.48,0.68,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1387724,2025-08-30 19:05:00+00:00,61,2025,96,Toulouse,85,Paris Saint Germain,3,6,FT,5-4-1,4-3-3,5-4-1 vs 4-3-3,4,4,0,1.0,1,45.0,1.5,,2.5,2.0,8.0,14.5,0.945,0.88,3.5,9.0,1.0,1,77.5,1.0,,4.0,0.0,19.5,4.0,1.64,0.19,9.5,1.0,-1.5,-11.5,-0.6950000000000001,-6.0,-32.5,0.0,2.22,2.62,0,,,,,,,2,1.0,0.0,0.0,1.6400000000000001,0.19,1.0,0,,,,,,weak,weak,weak
