fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5,home_expected_goals,away_expected_goals,home_team_formation_matches_before,home_team_formation_win_rate_before,home_team_formation_draw_rate_before,home_team_formation_loss_rate_before,home_team_formation_xg_for_avg_before,home_team_formation_xg_against_avg_before,home_team_formation_goal_diff_avg_before,away_team_formation_matches_before,away_team_formation_win_rate_before,away_team_formation_draw_rate_before,away_team_formation_loss_rate_before,away_team_formation_xg_for_avg_before,away_team_formation_xg_against_avg_before,away_team_formation_goal_diff_avg_before,formation_matchup_matches_before,formation_matchup_home_win_rate_before,formation_matchup_draw_rate_before,formation_matchup_away_win_rate_before,formation_matchup_avg_total_goals_before,formation_matchup_avg_xg_total_before,home_formation_signal_strength,away_formation_signal_strength,matchup_signal_strength
1213754,2024-08-16 18:45:00+00:00,61,2024,111,Le Havre,85,Paris Saint Germain,1,4,FT,4-3-3,4-3-3,4-3-3 vs 4-3-3,1,3,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.21,2.87,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213747,2024-08-17 15:00:00+00:00,61,2024,106,Stade Brestois 29,81,Marseille,1,5,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,2,6,-4,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.32,2.38,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213752,2024-08-17 17:00:00+00:00,61,2024,93,Reims,79,Lille,0,2,FT,4-3-3,5-4-1,4-3-3 vs 5-4-1,3,5,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.07,2.1,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213751,2024-08-17 19:00:00+00:00,61,2024,91,Monaco,1063,Saint Etienne,1,0,FT,4-4-2,4-1-4-1,4-4-2 vs 4-1-4-1,2,1,1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.96,0.45,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213753,2024-08-18 13:00:00+00:00,61,2024,108,Auxerre,84,Nice,2,1,FT,4-4-2,3-4-3,4-4-2 vs 3-4-3,1,4,-3,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.96,0.71,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213748,2024-08-18 15:00:00+00:00,61,2024,82,Montpellier,95,Strasbourg,1,1,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,3,1,2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.41,0.91,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213749,2024-08-18 15:00:00+00:00,61,2024,96,Toulouse,83,Nantes,0,0,FT,3-4-3,4-2-3-1,3-4-3 vs 4-2-3-1,0,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.71,0.47,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213750,2024-08-18 15:00:00+00:00,61,2024,77,Angers,116,Lens,0,1,FT,5-3-2,3-4-1-2,5-3-2 vs 3-4-1-2,4,5,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.39,1.23,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213755,2024-08-18 18:45:00+00:00,61,2024,94,Rennes,80,Lyon,3,0,FT,4-3-1-2,4-3-3,4-3-1-2 vs 4-3-3,1,2,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2.05,2.06,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213756,2024-08-23 18:45:00+00:00,61,2024,85,Paris Saint Germain,82,Montpellier,6,0,FT,4-3-3,5-3-2,4-3-3 vs 5-3-2,8,2,6,1.0,1,76.0,0.0,,10.0,2.0,15.0,5.0,2.87,0.21,8.0,2.0,1.0,1,42.0,4.0,,5.0,4.0,8.0,11.0,1.41,0.91,6.0,4.0,5.0,7.0,1.4600000000000002,2.0,34.0,0.0,3.82,0.63,1,1.0,0.0,0.0,2.87,0.21,3.0,0,,,,,,,0,,,,,,weak,weak,weak
1213763,2024-08-24 15:00:00+00:00,61,2024,80,Lyon,91,Monaco,0,2,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,0,2,-2,1.0,1,52.0,1.0,,2.0,8.0,16.0,22.0,2.06,2.05,7.0,7.0,1.0,1,62.0,1.0,,6.0,4.0,17.0,11.0,1.96,0.45,5.0,4.0,-4.0,-1.0,0.1,2.0,-10.0,0.0,0.03,2.26,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213760,2024-08-24 17:00:00+00:00,61,2024,79,Lille,77,Angers,2,0,FT,3-4-2-1,5-3-2,3-4-2-1 vs 5-3-2,6,2,4,1.0,1,69.0,2.0,0.0,6.0,0.0,22.0,2.0,2.1,0.07,8.0,0.0,1.0,1,41.0,1.0,,3.0,4.0,8.0,10.0,0.39,1.23,7.0,3.0,3.0,14.0,1.71,1.0,28.0,0.0,0.88,0.58,0,,,,,,,1,0.0,0.0,1.0,0.39,1.23,-1.0,0,,,,,,weak,weak,weak
1213759,2024-08-24 19:00:00+00:00,61,2024,1063,Saint Etienne,111,Le Havre,0,2,FT,4-1-4-1,5-4-1,4-1-4-1 vs 5-4-1,0,1,-1,1.0,1,38.0,1.0,,4.0,6.0,11.0,17.0,0.45,1.96,4.0,5.0,1.0,1,24.0,3.0,,2.0,10.0,5.0,15.0,0.21,2.87,2.0,8.0,2.0,6.0,0.24,2.0,14.0,0.0,1.11,2.38,1,0.0,0.0,1.0,0.45,1.96,-1.0,0,,,,,,,0,,,,,,weak,weak,weak
1213762,2024-08-25 13:00:00+00:00,61,2024,116,Lens,106,Stade Brestois 29,2,0,FT,3-4-1-2,4-3-3,3-4-1-2 vs 4-3-3,4,1,3,1.0,1,59.0,0.0,,4.0,3.0,10.0,8.0,1.23,0.39,3.0,7.0,1.0,1,50.0,4.0,,7.0,5.0,10.0,7.0,1.32,2.38,5.0,0.0,-3.0,0.0,-0.09,-2.0,9.0,0.0,2.97,0.86,1,1.0,0.0,0.0,1.23,0.39,1.0,1,0.0,0.0,1.0,1.32,2.38,-4.0,0,,,,,,weak,weak,weak
1213757,2024-08-25 15:00:00+00:00,61,2024,95,Strasbourg,94,Rennes,3,1,FT,3-4-1-2,4-3-1-2,3-4-1-2 vs 4-3-1-2,3,1,2,1.0,1,58.0,3.0,,4.0,5.0,11.0,8.0,0.91,1.41,4.0,6.0,1.0,1,48.0,2.0,,8.0,2.0,22.0,16.0,2.05,2.06,7.0,7.0,-4.0,-11.0,-1.1399999999999997,-3.0,10.0,0.0,0.72,1.09,0,,,,,,,1,1.0,0.0,0.0,2.05,2.06,3.0,0,,,,,,weak,weak,weak
1213758,2024-08-25 15:00:00+00:00,61,2024,83,Nantes,108,Auxerre,2,0,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,5,-1,1.0,1,46.0,3.0,,2.0,6.0,10.0,12.0,0.47,1.71,5.0,10.0,1.0,1,45.0,,,7.0,2.0,16.0,9.0,1.96,0.71,3.0,5.0,-5.0,-6.0,-1.49,2.0,1.0,0.0,1.44,1.11,1,0.0,1.0,0.0,0.47,1.71,0.0,0,,,,,,,1,0.0,0.0,1.0,2.0,2.2899999999999996,weak,weak,weak
1213761,2024-08-25 15:00:00+00:00,61,2024,84,Nice,96,Toulouse,1,1,FT,3-5-2,3-4-2-1,3-5-2 vs 3-4-2-1,4,0,4,1.0,1,55.0,,,2.0,7.0,9.0,16.0,0.71,1.96,5.0,3.0,1.0,1,54.0,1.0,,6.0,2.0,12.0,10.0,1.71,0.47,10.0,5.0,-4.0,-3.0,-1.0,-5.0,1.0,0.0,1.28,0.98,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213764,2024-08-25 18:45:00+00:00,61,2024,81,Marseille,93,Reims,2,2,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,3,2,1,1.0,1,50.0,1.0,,5.0,7.0,7.0,10.0,2.38,1.32,0.0,5.0,1.0,1,31.0,2.0,1.0,0.0,6.0,2.0,22.0,0.07,2.1,0.0,8.0,5.0,5.0,2.31,0.0,19.0,0.0,3.17,0.88,1,1.0,0.0,0.0,2.38,1.32,4.0,1,0.0,0.0,1.0,0.07,2.1,-2.0,0,,,,,,weak,weak,weak
1213766,2024-08-30 18:45:00+00:00,61,2024,80,Lyon,95,Strasbourg,4,3,FT,3-5-2,3-2-4-1,3-5-2 vs 3-2-4-1,2,3,-1,0.5,2,45.5,1.5,0.0,1.0,7.0,8.5,21.5,1.045,2.155,3.5,6.5,0.5,2,59.0,2.5,,4.5,5.0,11.0,11.0,0.815,1.25,3.0,5.5,-3.5,-2.5,0.2299999999999999,0.5,-13.5,0.0,2.92,2.72,0,,,,,,,0,,,,,,,0,,,,,,weak,weak,weak
1213767,2024-08-31 15:00:00+00:00,61,2024,106,Stade Brestois 29,1063,Saint Etienne,4,0,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,2,2,0,1.0,1,49.0,3.5,0.0,4.5,7.0,10.5,13.5,1.09,2.675,3.5,2.5,1.0,1,48.5,2.0,,4.5,5.5,15.0,15.5,0.78,2.17,3.0,4.5,0.0,-4.5,0.31,0.5,0.5,0.0,3.12,0.17,2,0.0,0.0,1.0,1.09,2.675,-3.0,0,,,,,,,1,0.0,0.0,1.0,6.0,3.7,weak,weak,weak
