fixture_id,team_id,team_name,is_home,formation,coach_name,startXI_count,substitutes_count,startXI_players,substitutes_players
1387706,94,Rennes,True,5-3-2,Franck Haise,11,9,"[{""id"":21628,""name"":""B. Samba"",""number"":30,""pos"":""G""},{""id"":3007,""name"":""P. Frankowski"",""number"":95,""pos"":""D""},{""id"":417830,""name"":""A. Ait Boudlal"",""number"":48,""pos"":""D""},{""id"":367636,""name"":""J. Jacquet"",""number"":97,""pos"":""D""},{""id"":129681,""name"":""A. Rouault"",""number"":24,""pos"":""D""},{""id"":272460,""name"":""Q. Merlin"",""number"":26,""pos"":""D""},{""id"":163032,""name"":""F. Rieder"",""number"":32,""pos"":""M""},{""id"":21102,""name"":""V. Rongier"",""number"":21,""pos"":""M""},{""id"":30807,""name"":""S. Fofana"",""number"":8,""pos"":""M""},{""id"":15286,""name"":""M. Tamari"",""number"":11,""pos"":""F""},{""id"":449662,""name"":""M. Meite"",""number"":39,""pos"":""F""}]","[{""id"":50104,""name"":""D. Alemdar"",""number"":16,""pos"":""G""},{""id"":438281,""name"":""M. Nagida"",""number"":18,""pos"":""D""},{""id"":20916,""name"":""C. Wooh"",""number"":4,""pos"":""D""},{""id"":21497,""name"":""L. Blas"",""number"":10,""pos"":""M""},{""id"":24147,""name"":""M. Camara"",""number"":45,""pos"":""M""},{""id"":343792,""name"":""D. Cisse"",""number"":6,""pos"":""M""},{""id"":328074,""name"":""J. James"",""number"":17,""pos"":""M""},{""id"":375000,""name"":""I. Salah"",""number"":34,""pos"":""F""},{""id"":68483,""name"":""B. Yildirim"",""number"":99,""pos"":""F""}]"
1387706,81,Marseille,False,3-2-4-1,Habib Beye,11,9,"[{""id"":47296,""name"":""G. Rulli"",""number"":1,""pos"":""G""},{""id"":181827,""name"":""C. Egan-Riley"",""number"":4,""pos"":""D""},{""id"":6,""name"":""L. Balerdi"",""number"":5,""pos"":""D""},{""id"":926,""name"":""G. Kondogbia"",""number"":19,""pos"":""D""},{""id"":2735,""name"":""P. Hojbjerg"",""number"":23,""pos"":""M""},{""id"":896,""name"":""A. Gomes"",""number"":8,""pos"":""M""},{""id"":897,""name"":""M. Greenwood"",""number"":10,""pos"":""F""},{""id"":272,""name"":""A. Rabiot"",""number"":25,""pos"":""M""},{""id"":2973,""name"":""M. Murillo"",""number"":62,""pos"":""M""},{""id"":278095,""name"":""J. Rowe"",""number"":17,""pos"":""F""},{""id"":85041,""name"":""A. Gouiri"",""number"":9,""pos"":""F""}]","[{""id"":36827,""name"":""J. De Lange"",""number"":12,""pos"":""G""},{""id"":51295,""name"":""D. Cornelius"",""number"":13,""pos"":""D""},{""id"":943,""name"":""U. Garcia"",""number"":6,""pos"":""D""},{""id"":455245,""name"":""D. Bakola"",""number"":50,""pos"":""M""},{""id"":412,""name"":""A. Harit"",""number"":11,""pos"":""M""},{""id"":283216,""name"":""B. Nadir"",""number"":26,""pos"":""M""},{""id"":1465,""name"":""P. Aubameyang"",""number"":97,""pos"":""F""},{""id"":435482,""name"":""R. Vaz"",""number"":34,""pos"":""F""},{""id"":1138,""name"":""T. Weah"",""number"":22,""pos"":""F""}]"
1387701,116,Lens,True,3-4-2-1,Pierre Sage,11,9,"[{""id"":347211,""name"":""R. Risser"",""number"":40,""pos"":""G""},{""id"":322984,""name"":""S. Baidoo"",""number"":6,""pos"":""D""},{""id"":22166,""name"":""M. Sarr"",""number"":20,""pos"":""D""},{""id"":20525,""name"":""M. Udol"",""number"":14,""pos"":""D""},{""id"":21568,""name"":""R. Aguilar"",""number"":2,""pos"":""M""},{""id"":22261,""name"":""A. Thomasson"",""number"":28,""pos"":""M""},{""id"":270509,""name"":""A. Diouf"",""number"":18,""pos"":""M""},{""id"":2483,""name"":""D. Machado"",""number"":3,""pos"":""M""},{""id"":21715,""name"":""W. Said"",""number"":22,""pos"":""F""},{""id"":23643,""name"":""M. Guilavogui"",""number"":29,""pos"":""F""},{""id"":443579,""name"":""R. Fofana"",""number"":38,""pos"":""F""}]","[{""id"":21378,""name"":""R. Gurtner"",""number"":1,""pos"":""G""},{""id"":44594,""name"":""S. Abdulhamid"",""number"":12,""pos"":""D""},{""id"":369500,""name"":""I. Ganiou"",""number"":4,""pos"":""D""},{""id"":394950,""name"":""A. Bulatovic"",""number"":30,""pos"":""M""},{""id"":237232,""name"":""H. Ojediran"",""number"":15,""pos"":""M""},{""id"":395811,""name"":""F. Sylla"",""number"":37,""pos"":""M""},{""id"":402066,""name"":""A. Bermont"",""number"":26,""pos"":""M""},{""id"":20761,""name"":""F. Sotoca"",""number"":7,""pos"":""F""},{""id"":1922,""name"":""F. Thauvin"",""number"":10,""pos"":""F""}]"
1387701,80,Lyon,False,4-2-3-1,Paulo Fonseca,11,9,"[{""id"":20762,""name"":""R. Descamps"",""number"":40,""pos"":""G""},{""id"":334914,""name"":""S. Kumbedi"",""number"":20,""pos"":""D""},{""id"":68,""name"":""C. Mata"",""number"":22,""pos"":""D""},{""id"":25916,""name"":""M. Niakhate"",""number"":19,""pos"":""D""},{""id"":9700,""name"":""Abner Vinicius"",""number"":16,""pos"":""D""},{""id"":162590,""name"":""T. Morton"",""number"":23,""pos"":""M""},{""id"":80752,""name"":""T. Tessmann"",""number"":6,""pos"":""M""},{""id"":1456,""name"":""A. Maitland-Niles"",""number"":98,""pos"":""M""},{""id"":519,""name"":""C. Tolisso"",""number"":8,""pos"":""M""},{""id"":361348,""name"":""M. Fofana"",""number"":11,""pos"":""M""},{""id"":180496,""name"":""G. Mikautadze"",""number"":69,""pos"":""F""}]","[{""id"":392671,""name"":""L. Diarra"",""number"":50,""pos"":""G""},{""id"":193293,""name"":""R. Kluivert"",""number"":21,""pos"":""D""},{""id"":529,""name"":""N. Tagliafico"",""number"":3,""pos"":""D""},{""id"":199871,""name"":""A. Karabec"",""number"":7,""pos"":""M""},{""id"":519664,""name"":""K. Merah"",""number"":44,""pos"":""M""},{""id"":438692,""name"":""M. de Carvalho"",""number"":39,""pos"":""M""},{""id"":66387,""name"":""P. Sulc"",""number"":10,""pos"":""M""},{""id"":345388,""name"":""A. Moreira"",""number"":17,""pos"":""F""},{""id"":409794,""name"":""A. Gomes"",""number"":32,""pos"":""F""}]"
1387703,91,Monaco,True,4-2-3-1,Sebastien Pocognoli,11,9,"[{""id"":963,""name"":""L. Hradecky"",""number"":1,""pos"":""G""},{""id"":231,""name"":""J. Teze"",""number"":4,""pos"":""D""},{""id"":175,""name"":""E. Dier"",""number"":3,""pos"":""D""},{""id"":371916,""name"":""C. Mawissa"",""number"":13,""pos"":""D""},{""id"":10316,""name"":""Caio Henrique"",""number"":12,""pos"":""D""},{""id"":374058,""name"":""L. Camara"",""number"":15,""pos"":""M""},{""id"":2810,""name"":""D. Zakaria"",""number"":6,""pos"":""M""},{""id"":274300,""name"":""M. Akliouche"",""number"":11,""pos"":""M""},{""id"":1101,""name"":""T. Minamino"",""number"":18,""pos"":""M""},{""id"":109,""name"":""A. Golovin"",""number"":10,""pos"":""M""},{""id"":283026,""name"":""M. Biereth"",""number"":14,""pos"":""F""}]","[{""id"":7313,""name"":""P. Kohn"",""number"":16,""pos"":""G""},{""id"":333137,""name"":""K. Ouattara"",""number"":20,""pos"":""D""},{""id"":261,""name"":""T. Kehrer"",""number"":5,""pos"":""D""},{""id"":30504,""name"":""W. Singo"",""number"":17,""pos"":""D""},{""id"":291649,""name"":""Vanderson"",""number"":2,""pos"":""D""},{""id"":453792,""name"":""A. Bamba"",""number"":23,""pos"":""M""},{""id"":343320,""name"":""E. Ben Seghir"",""number"":7,""pos"":""M""},{""id"":395040,""name"":""G. Ilenikhena"",""number"":19,""pos"":""F""},{""id"":386276,""name"":""P. Brunner"",""number"":29,""pos"":""F""}]"
1387703,111,Le Havre,False,4-1-4-1,Didier Digard,11,9,"[{""id"":119853,""name"":""M. Diaw"",""number"":99,""pos"":""G""},{""id"":174927,""name"":""A. Sangante"",""number"":93,""pos"":""D""},{""id"":33165,""name"":""A. Seko"",""number"":15,""pos"":""D""},{""id"":64255,""name"":""G. Lloris"",""number"":4,""pos"":""D""},{""id"":23637,""name"":""Y. Zouaoui"",""number"":18,""pos"":""D""},{""id"":162443,""name"":""E. Youte Kinkoue"",""number"":6,""pos"":""M""},{""id"":36932,""name"":""Y. Namli"",""number"":21,""pos"":""M""},{""id"":364093,""name"":""S. Ebonog"",""number"":26,""pos"":""M""},{""id"":128342,""name"":""R. Ndiaye"",""number"":14,""pos"":""M""},{""id"":174937,""name"":""Y. Kechta"",""number"":8,""pos"":""M""},{""id"":156465,""name"":""I. Soumare"",""number"":45,""pos"":""F""}]","[{""id"":24012,""name"":""L. Mpasi-Nzau"",""number"":77,""pos"":""G""},{""id"":174625,""name"":""F. Doucoure"",""number"":13,""pos"":""D""},{""id"":355955,""name"":""G. Gomis"",""number"":33,""pos"":""D""},{""id"":395765,""name"":""I. Bouneb"",""number"":44,""pos"":""M""},{""id"":460805,""name"":""D. N. Mosengo"",""number"":78,""pos"":""M""},{""id"":451961,""name"":""G. Zohouri"",""number"":24,""pos"":""M""},{""id"":21641,""name"":""G. Kyeremeh"",""number"":11,""pos"":""F""},{""id"":961,""name"":""F. Mambimbi"",""number"":10,""pos"":""F""},{""id"":1945,""name"":""A. Samatta"",""number"":70,""pos"":""F""}]"
1387705,84,Nice,True,3-4-2-1,Claude Puel,11,9,"[{""id"":20566,""name"":""Y. Diouf"",""number"":80,""pos"":""G""},{""id"":313937,""name"":""A. Mendy"",""number"":33,""pos"":""D""},{""id"":449509,""name"":""J. Bah"",""number"":28,""pos"":""D""},{""id"":404172,""name"":""K. Peprah"",""number"":37,""pos"":""D""},{""id"":25008,""name"":""J. Clauss"",""number"":92,""pos"":""M""},{""id"":4399,""name"":""H. Boudaoui"",""number"":6,""pos"":""M""},{""id"":193617,""name"":""T. Louchet"",""number"":20,""pos"":""M""},{""id"":162465,""name"":""M. Bard"",""number"":26,""pos"":""M""},{""id"":334879,""name"":""B. Bouanani"",""number"":19,""pos"":""F""},{""id"":105154,""name"":""I. Jansson"",""number"":21,""pos"":""F""},{""id"":69971,""name"":""T. Moffi"",""number"":9,""pos"":""F""}]","[{""id"":21079,""name"":""M. Dupe"",""number"":31,""pos"":""G""},{""id"":417914,""name"":""H. Koutoune"",""number"":36,""pos"":""D""},{""id"":128987,""name"":""S. Abdul Samed"",""number"":99,""pos"":""M""},{""id"":483118,""name"":""G. Bernardeau"",""number"":23,""pos"":""M""},{""id"":504157,""name"":""D. Coulibaly"",""number"":39,""pos"":""M""},{""id"":107,""name"":""S. Diop"",""number"":10,""pos"":""M""},{""id"":30531,""name"":""J. Boga"",""number"":7,""pos"":""F""},{""id"":19250,""name"":""B. Brahimi"",""number"":14,""pos"":""F""},{""id"":503702,""name"":""B. Nguene"",""number"":49,""pos"":""F""}]"
1387705,96,Toulouse,False,3-4-3,Carles Martinez,11,9,"[{""id"":325346,""name"":""G. Restes"",""number"":1,""pos"":""G""},{""id"":102,""name"":""D. Sidibe"",""number"":19,""pos"":""D""},{""id"":278392,""name"":""C. Cresswell"",""number"":4,""pos"":""D""},{""id"":50735,""name"":""M. McKenzie"",""number"":3,""pos"":""D""},{""id"":39115,""name"":""A. Donnum"",""number"":15,""pos"":""M""},{""id"":412759,""name"":""J. Canvot"",""number"":29,""pos"":""M""},{""id"":304140,""name"":""M. Sauer"",""number"":77,""pos"":""M""},{""id"":452697,""name"":""D. Methalie"",""number"":24,""pos"":""M""},{""id"":430816,""name"":""N. Edjouma"",""number"":31,""pos"":""F""},{""id"":174724,""name"":""F. Magri"",""number"":9,""pos"":""F""},{""id"":84128,""name"":""Y. Gboho"",""number"":10,""pos"":""F""}]","[{""id"":39104,""name"":""K. Haug"",""number"":16,""pos"":""G""},{""id"":449543,""name"":""T. Garondo"",""number"":42,""pos"":""D""},{""id"":489905,""name"":""S. Koumbassa"",""number"":35,""pos"":""D""},{""id"":15793,""name"":""R. Nicolaisen"",""number"":2,""pos"":""D""},{""id"":264383,""name"":""W. Kamanzi"",""number"":12,""pos"":""D""},{""id"":514464,""name"":""A. Vossah"",""number"":45,""pos"":""M""},{""id"":551200,""name"":""M. Saka"",""number"":39,""pos"":""M""},{""id"":492727,""name"":""E. Faty"",""number"":21,""pos"":""F""},{""id"":362741,""name"":""S. Hidalgo"",""number"":11,""pos"":""F""}]"
1387700,106,Stade Brestois 29,True,4-3-3,Eric Roy,11,9,"[{""id"":40384,""name"":""R. Majecki"",""number"":1,""pos"":""G""},{""id"":22247,""name"":""K. Lala"",""number"":77,""pos"":""D""},{""id"":20546,""name"":""B. Chardonnet"",""number"":5,""pos"":""D""},{""id"":85914,""name"":""J. Le Cardinal"",""number"":26,""pos"":""D""},{""id"":274267,""name"":""B. Locko"",""number"":2,""pos"":""D""},{""id"":326068,""name"":""K. Doumbia"",""number"":23,""pos"":""M""},{""id"":22170,""name"":""P. Lees-Melou"",""number"":20,""pos"":""M""},{""id"":20558,""name"":""H. Magnetti"",""number"":8,""pos"":""M""},{""id"":2214,""name"":""R. Del Castillo"",""number"":10,""pos"":""F""},{""id"":22264,""name"":""L. Ajorque"",""number"":19,""pos"":""F""},{""id"":41323,""name"":""M. Balde"",""number"":17,""pos"":""F""}]","[{""id"":422595,""name"":""L. Zogbe"",""number"":12,""pos"":""D""},{""id"":369556,""name"":""J. Bourgault"",""number"":18,""pos"":""D""},{""id"":449153,""name"":""H. Makalou"",""number"":33,""pos"":""M""},{""id"":21248,""name"":""G. Coudert"",""number"":30,""pos"":""G""},{""id"":129680,""name"":""H. Mbock"",""number"":28,""pos"":""M""},{""id"":485957,""name"":""S. Diop"",""number"":29,""pos"":""F""},{""id"":498791,""name"":""R. Le Guen"",""number"":36,""pos"":""D""},{""id"":365742,""name"":""J. M. Diaz"",""number"":4,""pos"":""D""},{""id"":329209,""name"":""A. Camblan"",""number"":11,""pos"":""M""}]"
1387700,79,Lille,False,4-2-3-1,Bruno Genesio,11,9,"[{""id"":1337,""name"":""B. Ozer"",""number"":1,""pos"":""G""},{""id"":351888,""name"":""O. Toure"",""number"":36,""pos"":""D""},{""id"":312964,""name"":""N. Ngoy"",""number"":3,""pos"":""D""},{""id"":142691,""name"":""Alexsandro"",""number"":4,""pos"":""D""},{""id"":20600,""name"":""R. Perraud"",""number"":15,""pos"":""D""},{""id"":375598,""name"":""N. Mukau"",""number"":17,""pos"":""M""},{""id"":2204,""name"":""B. Andre"",""number"":21,""pos"":""M""},{""id"":318416,""name"":""M. Broholm"",""number"":14,""pos"":""M""},{""id"":67889,""name"":""H. Haraldsson"",""number"":10,""pos"":""M""},{""id"":135749,""name"":""F. Correia"",""number"":27,""pos"":""M""},{""id"":2295,""name"":""O. Giroud"",""number"":9,""pos"":""F""}]","[{""id"":490745,""name"":""A. Goffi"",""number"":44,""pos"":""D""},{""id"":2096,""name"":""A. Bodart"",""number"":16,""pos"":""G""},{""id"":487381,""name"":""S. Diaoune"",""number"":43,""pos"":""F""},{""id"":334878,""name"":""U. Raghouber"",""number"":28,""pos"":""M""},{""id"":438688,""name"":""A. Bouaddi"",""number"":32,""pos"":""M""},{""id"":340077,""name"":""M. Fernandez-Pardo"",""number"":7,""pos"":""F""},{""id"":486136,""name"":""I. Cossier"",""number"":42,""pos"":""D""},{""id"":409,""name"":""N. Bentaleb"",""number"":6,""pos"":""M""},{""id"":340080,""name"":""V. Burlet"",""number"":41,""pos"":""D""}]"
