fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1213769,2024-09-01T15:00:00+00:00,61,2024,77,Angers,84,Nice,1,4,FT,5-3-2,3-4-3,5-3-2 vs 3-4-3,3,5,-2,7,9,14,14,54,46,4,7,14,13,6.0,4.0,0.0,1.0,1.42,2.24
1213772,2024-09-01T15:00:00+00:00,61,2024,93,Reims,94,Rennes,2,1,FT,4-3-3,4-4-2,4-3-3 vs 4-4-2,3,1,2,7,5,11,13,53,47,3,5,9,13,2.0,1.0,,,1.39,0.79
1213771,2024-09-01T15:00:00+00:00,61,2024,111,Le Havre,108,Auxerre,3,1,FT,5-4-1,4-2-3-1,5-4-1 vs 4-2-3-1,1,4,-3,8,3,22,7,49,51,2,2,10,16,1.0,5.0,0.0,1.0,2.76,0.58
1213765,2024-09-01T18:45:00+00:00,61,2024,79,Lille,85,Paris Saint Germain,1,3,FT,3-4-2-1,4-3-3,3-4-2-1 vs 4-3-3,5,5,0,4,7,8,11,42,58,3,1,9,9,3.0,2.0,,,1.4,2.6
1213780,2024-09-13T18:45:00+00:00,61,2024,1063,Saint Etienne,79,Lille,1,0,FT,4-1-4-1,5-4-1,4-1-4-1 vs 5-4-1,3,6,-3,5,4,10,17,29,71,2,7,12,10,1.0,1.0,,,1.25,1.24
1213781,2024-09-14T15:00:00+00:00,61,2024,81,Marseille,84,Nice,2,0,FT,4-2-3-1,3-4-3,4-2-3-1 vs 3-4-3,2,5,-3,5,4,10,12,56,44,1,2,18,4,5.0,2.0,1.0,0.0,0.67,2.05
1213774,2024-09-14T17:00:00+00:00,61,2024,108,Auxerre,91,Monaco,0,3,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,4,3,1,3,9,13,19,41,59,1,6,13,16,3.0,0.0,,,0.56,3.49
1213782,2024-09-14T19:00:00+00:00,61,2024,85,Paris Saint Germain,106,Stade Brestois 29,3,1,FT,4-3-3,4-3-3,4-3-3 vs 4-3-3,5,2,3,9,3,22,5,67,33,9,1,7,13,2.0,3.0,,,2.88,0.97
1213775,2024-09-15T13:00:00+00:00,61,2024,94,Rennes,82,Montpellier,3,0,FT,3-4-3,4-2-3-1,3-4-3 vs 4-2-3-1,2,6,-4,6,4,11,12,51,49,3,4,10,7,1.0,3.0,,,1.29,0.33
1213777,2024-09-15T15:00:00+00:00,61,2024,83,Nantes,93,Reims,1,2,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,3,4,-1,6,4,18,11,45,55,6,3,14,5,3.0,1.0,,,1.53,0.51
