fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1387706,2025-08-15T18:45:00+00:00,61,2025,94,Rennes,81,Marseille,1,0,FT,5-3-2,3-2-4-1,5-3-2 vs 3-2-4-1,2,2,0,5,2,12,24,28,72,1,12,8,11,2.0,3.0,1.0,0.0,1.47,1.71
1387701,2025-08-16T15:00:00+00:00,61,2025,116,Lens,80,Lyon,0,1,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,3,4,-1,5,3,18,11,55,45,12,8,13,20,2.0,3.0,,,1.38,1.41
1387703,2025-08-16T17:00:00+00:00,61,2025,91,Monaco,111,Le Havre,3,1,FT,4-2-3-1,4-1-4-1,4-2-3-1 vs 4-1-4-1,3,3,0,3,4,13,9,74,26,5,4,5,14,0.0,1.0,,,1.76,0.6
1387705,2025-08-16T19:05:00+00:00,61,2025,84,Nice,96,Toulouse,0,1,FT,3-4-2-1,3-4-3,3-4-2-1 vs 3-4-3,8,6,2,2,2,13,10,57,43,9,4,12,13,2.0,3.0,,,0.79,0.61
1387700,2025-08-17T13:00:00+00:00,61,2025,106,Stade Brestois 29,79,Lille,3,3,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,3,4,-1,5,6,18,10,46,54,2,2,11,13,2.0,1.0,,,2.01,1.62
1387698,2025-08-17T15:15:00+00:00,61,2025,77,Angers,114,Paris FC,1,0,FT,3-4-2-1,4-4-2,3-4-2-1 vs 4-4-2,0,1,-1,2,7,8,17,32,68,3,7,14,10,2.0,1.0,1.0,0.0,0.97,0.92
1387699,2025-08-17T15:15:00+00:00,61,2025,108,Auxerre,97,Lorient,1,0,FT,5-4-1,3-4-3,5-4-1 vs 3-4-3,2,4,-2,3,3,7,14,44,56,4,4,18,14,3.0,2.0,,,1.44,1.37
1387702,2025-08-17T15:15:00+00:00,61,2025,112,Metz,95,Strasbourg,0,1,FT,5-3-2,5-3-2,5-3-2 vs 5-3-2,3,7,-4,0,4,2,9,38,62,3,3,16,13,2.0,2.0,,,0.3,0.62
1387704,2025-08-17T18:45:00+00:00,61,2025,83,Nantes,85,Paris Saint Germain,0,1,FT,4-1-4-1,4-3-3,4-1-4-1 vs 4-3-3,0,2,-2,0,4,5,18,29,71,2,7,6,6,1.0,1.0,,,0.14,1.43
1387713,2025-08-22T18:45:00+00:00,61,2025,85,Paris Saint Germain,77,Angers,1,0,FT,4-3-3,3-5-2,4-3-3 vs 3-5-2,2,1,1,4,0,21,3,84,16,12,0,3,9,,,,,1.85,0.24
