fixture_id,team_id,team_name,is_home,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_percentage,expected_goals
1213754,111,Le Havre,True,2,1,5,2,3,2,11,2,1.0,24,3.0,,5,252,189,75,0.21
1213754,85,Paris Saint Germain,False,10,4,15,1,13,2,9,8,1.0,76,0.0,,1,824,770,93,2.87
1213747,106,Stade Brestois 29,True,7,2,10,1,6,4,12,5,2.0,50,4.0,,0,493,423,86,1.32
1213747,81,Marseille,False,5,1,7,1,7,0,8,0,0.0,50,1.0,,6,513,446,87,2.38
1213752,93,Reims,True,0,1,2,1,1,1,6,0,0.0,31,2.0,1.0,4,283,209,74,0.07
1213752,79,Lille,False,6,7,22,9,14,8,15,8,2.0,69,2.0,0.0,0,633,576,91,2.1
1213751,91,Monaco,True,6,4,17,7,14,3,13,5,2.0,62,1.0,,4,483,407,84,1.96
1213751,1063,Saint Etienne,False,4,5,11,2,5,6,14,4,3.0,38,1.0,,5,288,207,72,0.45
1213753,108,Auxerre,True,7,8,16,1,10,6,11,3,2.0,45,,,1,406,346,85,1.96
1213753,84,Nice,False,2,4,9,3,7,2,17,5,3.0,55,,,5,488,426,87,0.71
1213750,77,Angers,True,3,2,8,3,3,5,12,7,4.0,41,1.0,,3,334,245,73,0.39
1213750,116,Lens,False,4,6,10,0,7,3,14,3,3.0,59,0.0,,3,501,410,82,1.23
1213748,82,Montpellier,True,5,1,8,2,6,2,19,6,,42,4.0,,3,319,250,78,1.41
1213748,95,Strasbourg,False,4,6,11,1,9,2,18,4,,58,3.0,,4,452,369,82,0.91
1213749,96,Toulouse,True,6,3,12,3,11,1,14,10,,54,1.0,,2,483,397,82,1.71
1213749,83,Nantes,False,2,5,10,3,7,3,11,5,,46,3.0,,6,418,348,83,0.47
1213755,94,Rennes,True,8,10,22,4,17,5,13,7,1.0,48,2.0,,2,420,354,84,2.05
1213755,80,Lyon,False,2,8,16,6,13,3,12,7,2.0,52,1.0,,5,455,377,83,2.06
1213756,85,Paris Saint Germain,True,11,12,27,4,17,10,11,10,0.0,69,1.0,,3,744,694,93,3.82
1213756,82,Montpellier,False,3,3,8,2,6,2,17,2,2.0,31,4.0,,5,338,282,83,0.63
1213763,80,Lyon,True,0,1,1,0,0,1,19,0,4.0,39,2.0,0.0,4,317,246,78,0.03
1213763,91,Monaco,False,6,10,21,5,14,7,9,6,1.0,61,3.0,1.0,0,489,422,86,2.26
1213760,79,Lille,True,6,2,11,3,7,4,9,3,1.0,65,1.0,,2,603,515,85,0.88
1213760,77,Angers,False,2,3,6,1,4,2,18,2,4.0,35,2.0,,4,322,261,81,0.58
1213759,1063,Saint Etienne,True,5,9,19,5,9,10,12,2,2.0,59,3.0,,3,457,382,84,1.11
1213759,111,Le Havre,False,5,7,14,2,9,5,10,4,3.0,41,3.0,,5,303,235,78,2.38
1213762,116,Lens,True,9,5,20,6,16,4,10,5,6.0,52,2.0,1.0,2,495,405,82,2.97
1213762,106,Stade Brestois 29,False,2,9,11,0,9,2,7,2,1.0,48,3.0,0.0,8,461,367,80,0.86
1213758,83,Nantes,True,5,3,9,1,6,3,9,3,2.0,35,2.0,0.0,3,290,213,73,1.44
1213758,108,Auxerre,False,3,4,12,5,8,4,6,12,1.0,65,1.0,1.0,3,555,468,84,1.11
1213761,84,Nice,True,3,6,11,2,10,1,12,4,1.0,58,4.0,,2,454,378,83,1.28
1213761,96,Toulouse,False,3,7,15,5,8,7,21,4,1.0,42,2.0,,2,338,255,75,0.98
1213757,95,Strasbourg,True,5,3,11,3,7,4,9,2,3.0,60,2.0,,4,544,463,85,0.72
1213757,94,Rennes,False,5,6,14,3,6,8,19,5,1.0,40,4.0,,3,358,285,80,1.09
1213764,81,Marseille,True,11,5,21,5,16,5,10,2,3.0,66,1.0,,1,633,570,90,3.17
1213764,93,Reims,False,3,5,13,5,8,5,13,4,1.0,34,1.0,,9,327,261,80,0.88
1213766,80,Lyon,True,12,2,20,6,15,5,11,9,4.0,48,3.0,,5,412,339,82,2.92
1213766,95,Strasbourg,False,8,2,15,5,12,3,6,2,2.0,52,2.0,,8,455,384,84,2.72
1213767,106,Stade Brestois 29,True,9,8,22,5,18,4,12,7,2.0,47,0.0,,0,322,240,75,3.12
1213767,1063,Saint Etienne,False,0,4,6,2,2,4,28,2,4.0,53,5.0,,4,373,311,83,0.17
1213768,82,Montpellier,True,4,4,10,2,5,5,11,8,0.0,69,2.0,,1,563,491,87,0.92
1213768,83,Nantes,False,4,4,9,1,7,2,14,3,1.0,31,2.0,,3,257,191,74,1.48
1213773,96,Toulouse,True,1,2,3,0,2,1,10,2,,24,4.0,1.0,2,271,204,75,0.99
1213773,81,Marseille,False,4,3,12,5,9,3,15,3,,76,2.0,0.0,0,877,814,93,0.84
1213770,91,Monaco,True,3,6,14,5,6,8,11,7,2.0,61,1.0,,3,447,367,82,1.03
1213770,116,Lens,False,4,5,12,3,9,3,21,7,1.0,39,4.0,,2,267,200,75,2.24
1213769,77,Angers,True,7,5,14,2,7,7,14,4,,54,6.0,0.0,4,453,390,86,1.42
1213769,84,Nice,False,9,2,14,3,11,3,13,7,,46,4.0,1.0,6,381,315,83,2.24
1213772,93,Reims,True,7,3,11,1,7,4,9,3,0.0,53,2.0,,4,400,330,83,1.39
1213772,94,Rennes,False,5,3,13,5,10,3,13,5,2.0,47,1.0,,5,350,281,80,0.79
1213771,111,Le Havre,True,8,9,22,5,13,9,10,2,4.0,49,1.0,0.0,2,439,369,84,2.76
1213771,108,Auxerre,False,3,1,7,3,1,6,16,2,0.0,51,5.0,1.0,6,453,386,85,0.58
1213765,79,Lille,True,4,4,8,0,6,2,9,3,5.0,42,3.0,,4,422,359,85,1.4
1213765,85,Paris Saint Germain,False,7,2,11,2,11,0,9,1,2.0,58,2.0,,3,611,542,89,2.6
1213780,1063,Saint Etienne,True,5,5,10,0,5,5,12,2,3.0,29,1.0,,4,282,206,73,1.25
1213780,79,Lille,False,4,8,17,5,11,6,10,7,1.0,71,1.0,,4,691,608,88,1.24
1213781,81,Marseille,True,5,3,10,2,5,5,18,1,1.0,56,5.0,1.0,4,499,424,85,0.67
1213781,84,Nice,False,4,5,12,3,10,2,4,2,5.0,44,2.0,0.0,3,385,329,85,2.05
1213774,108,Auxerre,True,3,6,13,4,4,9,13,1,1.0,41,3.0,,6,404,321,79,0.56
1213774,91,Monaco,False,9,4,19,6,17,2,16,6,3.0,59,0.0,,3,587,482,82,3.49
1213782,85,Paris Saint Germain,True,9,7,22,6,13,9,7,9,3.0,67,2.0,,2,679,623,92,2.88
1213782,106,Stade Brestois 29,False,3,0,5,2,2,3,13,1,1.0,33,3.0,,6,333,253,76,0.97
1213775,94,Rennes,True,6,5,11,0,7,4,10,3,1.0,51,1.0,,4,452,403,89,1.29
1213775,82,Montpellier,False,4,4,12,4,3,9,7,4,3.0,49,3.0,,3,444,387,87,0.33
1213777,83,Nantes,True,6,5,18,7,12,6,14,6,2.0,45,3.0,,2,456,399,88,1.53
1213777,93,Reims,False,4,5,11,2,7,4,5,3,2.0,55,1.0,,5,582,525,90,0.51
1213779,95,Strasbourg,True,5,4,10,1,7,3,11,6,0.0,51,4.0,,1,469,401,86,2.26
1213779,77,Angers,False,2,5,12,5,7,5,14,9,1.0,49,1.0,,4,432,353,82,0.92
1213778,96,Toulouse,True,7,4,15,4,12,3,10,6,,54,1.0,,3,520,427,82,1.32
1213778,111,Le Havre,False,3,1,5,1,1,4,11,5,,46,1.0,,4,438,352,80,0.21
1213776,116,Lens,True,5,6,12,1,8,4,12,5,4.0,54,,,3,492,404,82,1.05
1213776,80,Lyon,False,3,1,8,4,4,4,11,8,3.0,46,,,4,421,321,76,0.56
1213784,84,Nice,True,12,3,18,3,14,4,7,3,3.0,59,0.0,,2,673,618,92,4.73
1213784,1063,Saint Etienne,False,2,4,8,2,5,3,13,2,0.0,41,1.0,,5,456,389,85,0.32
1213789,79,Lille,True,7,6,15,2,10,5,16,9,4.0,64,2.0,,7,565,499,88,2.75
1213789,95,Strasbourg,False,9,0,12,3,11,1,12,5,2.0,36,2.0,,4,327,262,80,3.23
1213790,94,Rennes,True,6,3,11,2,7,4,16,4,1.0,40,2.0,,1,336,231,69,1.37
1213790,116,Lens,False,2,3,10,5,5,5,20,3,3.0,60,4.0,,5,492,383,78,0.56
1213785,93,Reims,True,1,3,8,4,5,3,11,3,1.0,22,2.0,,3,219,159,73,0.31
1213785,85,Paris Saint Germain,False,4,5,11,2,9,2,6,5,1.0,78,1.0,,0,808,757,94,1.59
1213791,91,Monaco,True,4,4,12,4,8,4,10,6,5.0,62,1.0,,0,493,420,85,1.98
1213791,111,Le Havre,False,2,3,8,3,4,4,17,4,3.0,38,3.0,,1,302,223,74,0.57
1213787,77,Angers,True,1,2,4,1,1,3,13,3,,50,1.0,,2,480,402,84,0.85
1213787,83,Nantes,False,3,2,9,4,7,2,16,6,,50,4.0,,0,473,390,82,0.62
1213788,82,Montpellier,True,5,5,14,4,10,4,13,11,4.0,54,3.0,,3,410,324,79,2.04
1213788,108,Auxerre,False,6,3,11,2,10,1,20,5,1.0,46,4.0,,1,367,289,79,1.27
1213786,106,Stade Brestois 29,True,5,1,8,2,4,4,15,4,,43,1.0,,1,362,269,74,0.43
1213786,96,Toulouse,False,1,9,11,1,10,1,18,3,,57,1.0,,3,473,377,80,2.77
1213783,80,Lyon,True,9,9,22,4,16,6,17,10,3.0,63,4.0,0.0,1,503,444,88,3.01
1213783,81,Marseille,False,5,2,9,2,5,4,8,3,4.0,37,3.0,1.0,6,311,242,78,0.79
1213794,108,Auxerre,True,4,6,15,5,10,5,13,2,2.0,38,2.0,,4,296,204,69,2.57
1213794,106,Stade Brestois 29,False,4,4,8,0,6,2,16,3,1.0,62,0.0,,1,507,418,82,0.8
1213793,85,Paris Saint Germain,True,8,8,23,7,14,9,12,6,5.0,62,1.0,,4,638,565,89,3.05
1213793,94,Rennes,False,5,3,12,4,5,7,13,4,1.0,38,3.0,,4,389,319,82,1.5
1213795,116,Lens,True,7,10,22,5,15,7,16,11,1.0,55,3.0,1.0,4,452,381,84,1.99
1213795,84,Nice,False,4,3,15,8,9,6,7,4,1.0,45,2.0,0.0,6,375,301,80,1.15
1213797,111,Le Havre,True,4,3,7,0,3,4,11,1,1.0,38,2.0,,8,383,313,82,0.41
1213797,79,Lille,False,10,3,18,5,13,5,9,5,3.0,62,1.0,,4,639,574,90,3.58
1213799,91,Monaco,True,7,10,21,4,18,3,17,6,2.0,65,4.0,0.0,2,526,451,86,3.25
1213799,82,Montpellier,False,4,3,9,2,4,5,17,2,2.0,35,3.0,1.0,4,277,192,69,0.88
1213798,96,Toulouse,True,4,3,10,3,7,3,12,3,4.0,45,2.0,,0,401,318,79,0.94
1213798,80,Lyon,False,1,1,4,2,4,0,15,4,1.0,55,2.0,,3,479,407,85,0.42
1213800,77,Angers,True,3,6,14,5,7,7,7,5,2.0,53,0.0,,7,491,418,85,1.12
1213800,93,Reims,False,10,9,21,2,16,5,11,4,1.0,47,3.0,,2,449,369,82,2.91
1213796,83,Nantes,True,3,6,16,7,14,2,11,8,2.0,61,2.0,1.0,1,537,467,87,1.8
1213796,1063,Saint Etienne,False,3,2,5,0,4,1,12,4,1.0,39,2.0,0.0,1,357,287,80,1.02
1213792,95,Strasbourg,True,6,6,14,2,8,6,17,8,1.0,41,2.0,,3,381,316,83,1.31
1213792,81,Marseille,False,3,5,10,2,5,5,7,3,4.0,59,1.0,,5,557,485,87,0.5
1213806,81,Marseille,True,4,6,16,6,9,7,15,9,0.0,76,4.0,1.0,2,733,681,93,0.89
1213806,77,Angers,False,3,4,10,3,5,5,9,3,4.0,24,0.0,1.0,3,222,185,83,0.83
1213804,1063,Saint Etienne,True,5,5,13,3,11,2,13,5,3.0,42,3.0,,0,358,273,76,2.73
1213804,108,Auxerre,False,3,5,11,3,7,4,10,4,4.0,58,1.0,,2,490,391,80,0.79
1213803,79,Lille,True,3,4,10,3,6,4,13,4,0.0,58,3.0,,1,525,449,86,1.61
1213803,96,Toulouse,False,3,5,9,1,6,3,8,6,2.0,42,2.0,,1,374,311,83,1.11
1213807,94,Rennes,True,3,5,14,6,6,8,9,10,1.0,58,2.0,,0,514,422,82,0.75
1213807,91,Monaco,False,2,2,5,1,4,1,16,4,1.0,42,4.0,,2,379,280,74,0.58
1213801,80,Lyon,True,6,7,17,4,14,3,10,6,1.0,62,1.0,,6,622,550,88,3.28
1213801,83,Nantes,False,6,3,11,2,9,2,5,9,1.0,38,2.0,,5,368,292,79,0.88
1213809,93,Reims,True,5,8,18,5,13,5,15,4,3.0,48,3.0,,1,413,354,86,3.03
1213809,82,Montpellier,False,3,4,10,3,3,7,13,4,0.0,52,5.0,,1,441,378,86,0.5
1213808,95,Strasbourg,True,5,3,8,0,4,4,15,3,2.0,37,2.0,,3,314,244,78,1.24
1213808,116,Lens,False,5,3,12,4,8,4,18,5,3.0,63,4.0,,3,532,458,86,0.99
1213805,106,Stade Brestois 29,True,3,2,8,3,6,2,19,1,2.0,54,4.0,1.0,0,435,343,79,0.75
1213805,111,Le Havre,False,1,9,14,4,9,5,11,9,2.0,46,0.0,1.0,1,350,258,74,1.06
1213802,84,Nice,True,3,2,8,3,4,4,7,5,2.0,29,1.0,,7,284,230,81,0.35
1213802,85,Paris Saint Germain,False,9,5,19,5,11,8,9,15,1.0,71,2.0,,2,701,642,92,1.3
1213815,91,Monaco,True,4,7,14,3,11,3,13,6,2.0,51,1.0,1.0,1,458,385,84,1.23
1213815,79,Lille,False,1,2,3,0,2,1,14,1,1.0,49,5.0,0.0,4,445,360,81,0.25
1213817,106,Stade Brestois 29,True,2,7,12,3,6,6,18,2,2.0,56,2.0,,3,461,356,77,1.47
1213817,94,Rennes,False,4,2,6,0,5,1,15,4,2.0,44,2.0,,1,361,292,81,1.16
1213816,1063,Saint Etienne,True,1,7,15,7,8,7,12,2,1.0,37,1.0,,3,335,250,75,0.78
1213816,116,Lens,False,5,7,13,1,5,8,16,7,3.0,63,2.0,,1,568,499,88,1.22
1213818,85,Paris Saint Germain,True,10,5,18,3,16,2,10,5,2.0,56,2.0,,5,560,493,88,3.49
1213818,95,Strasbourg,False,8,1,16,7,10,6,12,5,1.0,44,2.0,,6,445,378,85,1.96
1213812,111,Le Havre,True,1,3,7,3,3,4,17,4,3.0,38,3.0,,4,303,241,80,0.49
1213812,80,Lyon,False,8,4,16,4,9,7,11,6,1.0,62,4.0,,1,508,436,86,2.72
1213813,83,Nantes,True,7,3,11,1,5,6,10,4,0.0,42,2.0,,6,390,319,82,0.49
1213813,84,Nice,False,7,5,13,1,9,4,11,8,2.0,58,1.0,,6,535,466,87,0.85
1213811,96,Toulouse,True,6,7,18,5,12,6,11,8,0.0,66,2.0,,3,535,447,84,1.97
1213811,77,Angers,False,4,2,8,2,6,2,9,2,1.0,34,4.0,,4,278,195,70,1.38
1213810,108,Auxerre,True,8,2,10,0,8,2,6,5,2.0,36,2.0,,2,264,197,75,2.91
1213810,93,Reims,False,3,4,15,8,11,4,10,9,2.0,64,3.0,,6,477,406,85,1.08
1213814,82,Montpellier,True,5,3,13,5,8,5,11,3,6.0,35,1.0,1.0,5,293,238,81,1.19
1213814,81,Marseille,False,10,9,21,2,15,6,18,2,2.0,65,3.0,0.0,5,562,513,91,3.36
1213825,94,Rennes,True,4,8,20,8,15,5,10,14,0.0,61,2.0,0.0,1,535,464,87,1.59
1213825,111,Le Havre,False,1,2,5,2,4,1,7,0,2.0,39,4.0,1.0,3,361,284,79,0.43
1213826,77,Angers,True,8,4,13,1,9,4,10,2,,42,1.0,,5,397,320,81,2.96
1213826,1063,Saint Etienne,False,7,5,19,7,4,15,13,3,,58,3.0,,4,567,485,86,1.47
1213827,93,Reims,True,3,6,11,2,8,3,15,7,3.0,53,3.0,,2,412,349,85,0.79
1213827,106,Stade Brestois 29,False,4,4,13,5,6,7,11,3,1.0,47,2.0,,2,377,296,79,1.5
1213820,116,Lens,True,4,2,11,5,8,3,16,8,4.0,58,4.0,,1,432,325,75,1.09
1213820,79,Lille,False,3,1,11,7,9,2,14,2,1.0,42,5.0,,4,316,231,73,1.72
1213822,80,Lyon,True,8,2,12,2,12,0,7,5,2.0,63,0.0,,3,542,460,85,2.05
1213822,108,Auxerre,False,6,7,19,6,12,7,15,5,4.0,37,4.0,,7,306,235,77,1.54
1213823,82,Montpellier,True,2,5,9,2,3,6,8,1,0.0,52,1.0,1.0,3,484,413,85,0.21
1213823,96,Toulouse,False,6,5,15,4,11,4,20,3,1.0,48,2.0,0.0,2,467,405,87,1.88
1213819,84,Nice,True,9,6,17,2,11,6,16,6,2.0,40,2.0,0.0,4,313,246,79,1.63
1213819,91,Monaco,False,5,1,11,5,6,5,11,6,1.0,60,5.0,1.0,7,477,395,83,0.4
1213824,95,Strasbourg,True,5,1,9,3,9,0,15,5,0.0,51,2.0,,5,486,410,84,1.73
1213824,83,Nantes,False,6,1,8,1,7,1,17,4,2.0,49,3.0,,2,478,400,84,0.76
1213821,81,Marseille,True,1,2,5,2,4,1,4,1,2.0,25,1.0,1.0,6,307,241,79,0.22
1213821,85,Paris Saint Germain,False,8,9,19,2,15,4,7,2,8.0,75,0.0,0.0,1,916,862,94,3.1
1213830,91,Monaco,True,3,4,11,4,6,5,16,4,0.0,64,1.0,,2,559,473,85,1.39
1213830,77,Angers,False,3,3,10,4,5,5,12,4,2.0,36,1.0,,3,311,235,76,0.46
1213833,79,Lille,True,2,8,14,4,10,4,12,4,1.0,47,3.0,,2,399,332,83,1.67
1213833,80,Lyon,False,3,6,14,5,12,2,10,9,3.0,53,1.0,,1,444,354,80,1.24
1213836,85,Paris Saint Germain,True,8,5,18,5,13,5,3,7,2.0,69,1.0,0.0,2,720,640,89,2.88
1213836,116,Lens,False,2,6,13,5,11,2,20,4,3.0,31,4.0,1.0,7,322,252,78,0.83
1213835,106,Stade Brestois 29,True,6,9,16,1,11,5,9,6,1.0,64,0.0,,2,591,507,86,1.02
1213835,84,Nice,False,3,8,12,1,8,4,4,2,4.0,36,2.0,,6,342,267,78,1.52
1213834,1063,Saint Etienne,True,3,8,13,2,9,4,9,2,3.0,35,2.0,,3,387,322,83,2.65
1213834,95,Strasbourg,False,3,4,9,2,7,2,4,3,0.0,65,1.0,,1,726,669,92,0.53
1213829,96,Toulouse,True,6,5,13,2,10,3,16,6,0.0,51,0.0,,2,377,291,77,0.88
1213829,93,Reims,False,2,4,13,7,5,8,15,7,3.0,49,3.0,,4,376,298,79,1.09
1213828,108,Auxerre,True,8,7,16,1,10,6,11,3,3.0,39,0.0,,4,325,255,78,2.79
1213828,94,Rennes,False,4,1,7,2,5,2,15,8,2.0,61,2.0,,4,509,440,86,0.8
