fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_formation_stability_5,home_recent_formations_count,home_api_possession_5,home_api_yellow_cards_5,home_api_red_cards_5,home_api_shots_on_goal_for_5,home_api_shots_on_goal_against_5,home_api_total_shots_for_5,home_api_total_shots_against_5,home_api_expected_goals_for_5,home_api_expected_goals_against_5,home_api_corners_for_5,home_api_corners_against_5,away_formation_stability_5,away_recent_formations_count,away_api_possession_5,away_api_yellow_cards_5,away_api_red_cards_5,away_api_shots_on_goal_for_5,away_api_shots_on_goal_against_5,away_api_total_shots_for_5,away_api_total_shots_against_5,away_api_expected_goals_for_5,away_api_expected_goals_against_5,away_api_corners_for_5,away_api_corners_against_5,api_shots_on_goal_diff_5,api_total_shots_diff_5,api_expected_goals_diff_5,api_corners_diff_5,api_possession_diff_5,formation_stability_diff_5
1213754,2024-08-16 18:45:00+00:00,61,2024,111,Le Havre,85,Paris Saint Germain,1,4,FT,4-3-3,4-3-3,4-3-3 vs 4-3-3,1,3,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213747,2024-08-17 15:00:00+00:00,61,2024,106,Stade Brestois 29,81,Marseille,1,5,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,2,6,-4,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213752,2024-08-17 17:00:00+00:00,61,2024,93,Reims,79,Lille,0,2,FT,4-3-3,5-4-1,4-3-3 vs 5-4-1,3,5,-2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213751,2024-08-17 19:00:00+00:00,61,2024,91,Monaco,1063,Saint Etienne,1,0,FT,4-4-2,4-1-4-1,4-4-2 vs 4-1-4-1,2,1,1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213753,2024-08-18 13:00:00+00:00,61,2024,108,Auxerre,84,Nice,2,1,FT,4-4-2,3-4-3,4-4-2 vs 3-4-3,1,4,-3,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213748,2024-08-18 15:00:00+00:00,61,2024,82,Montpellier,95,Strasbourg,1,1,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,3,1,2,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213749,2024-08-18 15:00:00+00:00,61,2024,96,Toulouse,83,Nantes,0,0,FT,3-4-3,4-2-3-1,3-4-3 vs 4-2-3-1,0,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213750,2024-08-18 15:00:00+00:00,61,2024,77,Angers,116,Lens,0,1,FT,5-3-2,3-4-1-2,5-3-2 vs 3-4-1-2,4,5,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213755,2024-08-18 18:45:00+00:00,61,2024,94,Rennes,80,Lyon,3,0,FT,4-3-1-2,4-3-3,4-3-1-2 vs 4-3-3,1,2,-1,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1213756,2024-08-23 18:45:00+00:00,61,2024,85,Paris Saint Germain,82,Montpellier,6,0,FT,4-3-3,5-3-2,4-3-3 vs 5-3-2,8,2,6,1.0,1,76.0,0.0,,10.0,2.0,15.0,5.0,2.87,0.21,8.0,2.0,1.0,1,42.0,4.0,,5.0,4.0,8.0,11.0,1.41,0.91,6.0,4.0,5.0,7.0,1.4600000000000002,2.0,34.0,0.0
1213763,2024-08-24 15:00:00+00:00,61,2024,80,Lyon,91,Monaco,0,2,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,0,2,-2,1.0,1,52.0,1.0,,2.0,8.0,16.0,22.0,2.06,2.05,7.0,7.0,1.0,1,62.0,1.0,,6.0,4.0,17.0,11.0,1.96,0.45,5.0,4.0,-4.0,-1.0,0.10000000000000009,2.0,-10.0,0.0
