fixture_id,team_id,team_name,is_home,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_percentage,expected_goals
1387706,94,Rennes,True,5,2,12,5,8,4,8,1,5.0,28,2.0,1.0,2.0,284,220,77,1.47
1387706,81,Marseille,False,2,13,24,9,15,9,11,12,0.0,72,3.0,0.0,4.0,718,658,92,1.71
1387701,116,Lens,True,5,9,18,4,11,7,13,12,5.0,55,2.0,,2.0,444,377,85,1.38
1387701,80,Lyon,False,3,7,11,1,8,3,20,8,1.0,45,3.0,,4.0,371,298,80,1.41
1387703,91,Monaco,True,3,5,13,5,7,6,5,5,5.0,74,0.0,,3.0,725,643,89,1.76
1387703,111,Le Havre,False,4,3,9,2,5,4,14,4,1.0,26,1.0,,1.0,243,175,72,0.6
1387705,84,Nice,True,2,5,13,6,4,9,12,9,,57,2.0,,1.0,472,403,85,0.79
1387705,96,Toulouse,False,2,6,10,2,7,3,13,4,,43,3.0,,2.0,362,306,85,0.61
1387700,106,Stade Brestois 29,True,5,8,18,5,12,6,11,2,1.0,46,2.0,,3.0,366,272,74,2.01
1387700,79,Lille,False,6,0,10,4,7,3,13,2,2.0,54,1.0,,2.0,441,363,82,1.62
1387698,77,Angers,True,2,3,8,3,5,3,14,3,0.0,32,2.0,1.0,7.0,277,206,74,0.97
1387698,114,Paris FC,False,7,6,17,4,5,12,10,7,3.0,68,1.0,0.0,1.0,589,531,90,0.92
1387699,108,Auxerre,True,3,3,7,1,4,3,18,4,0.0,44,3.0,,3.0,361,291,81,1.44
1387699,97,Lorient,False,3,6,14,5,11,3,14,4,2.0,56,2.0,,2.0,465,392,84,1.37
1387702,112,Metz,True,0,2,2,0,2,0,16,3,1.0,38,2.0,,2.0,349,272,78,0.3
1387702,95,Strasbourg,False,4,2,9,3,4,5,13,3,1.0,62,2.0,,0.0,585,521,89,0.62
1387704,83,Nantes,True,0,5,5,0,2,3,6,2,0.0,29,1.0,,3.0,304,224,74,0.14
1387704,85,Paris Saint Germain,False,4,7,18,7,12,6,6,7,1.0,71,1.0,,0.0,744,680,91,1.43
1387713,85,Paris Saint Germain,True,4,13,21,4,8,13,3,12,1.0,84,,,0.0,981,918,94,1.85
1387713,77,Angers,False,0,3,3,0,3,0,9,0,1.0,16,,,3.0,195,141,72,0.24
1387711,81,Marseille,True,7,4,11,0,9,2,9,5,1.0,61,1.0,,2.0,590,539,91,2.83
1387711,114,Paris FC,False,4,4,8,0,6,2,12,2,1.0,39,0.0,,2.0,380,333,88,1.09
1387712,84,Nice,True,6,9,16,1,9,7,10,5,1.0,55,2.0,0.0,7.0,478,417,87,1.94
1387712,108,Auxerre,False,8,2,12,2,8,4,15,4,0.0,45,2.0,1.0,4.0,389,309,79,1.51
1387710,80,Lyon,True,8,3,13,2,9,4,13,4,1.0,53,0.0,,2.0,542,500,92,2.77
1387710,112,Metz,False,2,3,11,6,7,4,15,3,3.0,47,2.0,,5.0,485,442,91,0.56
1387709,97,Lorient,True,7,9,22,6,13,9,18,3,4.0,51,6.0,0.0,1.0,486,428,88,3.04
1387709,94,Rennes,False,1,3,4,0,0,4,7,2,2.0,49,0.0,2.0,3.0,476,413,87,0.08
1387714,95,Strasbourg,True,4,6,15,5,9,6,11,7,4.0,49,2.0,,2.0,448,394,88,1.78
1387714,83,Nantes,False,2,2,9,5,7,2,9,6,2.0,51,2.0,,3.0,474,394,83,0.44
1387715,96,Toulouse,True,3,3,6,0,6,0,14,3,3.0,47,0.0,,2.0,387,314,81,1.28
1387715,106,Stade Brestois 29,False,2,6,16,8,10,6,10,9,2.0,53,1.0,,1.0,417,344,82,0.97
1387707,111,Le Havre,True,6,7,18,5,11,7,17,7,2.0,57,3.0,,1.0,526,438,83,1.89
1387707,116,Lens,False,3,2,6,1,4,2,16,0,0.0,43,1.0,,5.0,407,348,86,1.07
1387708,79,Lille,True,1,13,18,4,10,8,7,8,2.0,50,1.0,,2.0,417,345,83,2.92
1387708,91,Monaco,False,1,4,6,1,5,1,14,3,0.0,50,2.0,,0.0,425,338,80,1.25
1387718,116,Lens,True,10,9,30,11,26,4,7,15,2.0,68,1.0,0.0,1.0,581,495,85,3.99
1387718,106,Stade Brestois 29,False,2,2,9,5,7,2,12,1,0.0,32,3.0,1.0,7.0,284,207,73,1.08
1387719,97,Lorient,True,2,3,6,1,5,1,14,3,3.0,41,3.0,,5.0,363,305,84,1.5
1387719,79,Lille,False,11,3,20,6,15,5,18,8,2.0,59,3.0,,1.0,538,467,87,3.49
1387722,83,Nantes,True,3,0,4,1,1,3,13,3,1.0,43,1.0,,4.0,345,270,78,0.48
1387722,108,Auxerre,False,4,3,14,7,8,6,11,9,6.0,57,3.0,,2.0,439,365,83,0.68
1387724,96,Toulouse,True,6,3,14,5,8,6,7,5,1.0,24,1.0,,2.0,268,207,77,2.22
1387724,85,Paris Saint Germain,False,8,3,13,2,9,4,11,7,0.0,76,0.0,,3.0,860,805,94,2.62
1387716,77,Angers,True,7,3,10,0,6,4,9,1,4.0,37,2.0,,6.0,383,334,87,1.23
1387716,94,Rennes,False,7,4,15,4,9,6,11,7,0.0,63,2.0,,6.0,676,612,91,1.46
